3	8216
4	7744
5	6118
6	4813
7	3372
8	2335
9	1441
10	927
11	575
12	361
13	203
14	135
15	89
16	51
17	30
18	27
19	16
20	4
21	4
22	5
23	1
24	1
25	2
26	2
27	1
28	1
92	1
30	1
32	1
36	2
39	1
