Названия строк	Количество по полю Обобщенный	Среднее по полю ГлубинаН	Среднее по полю ГлубинаО
(TOP (S (NP (DT )(JJ )(NN ))(VP (VBZ )(NP (DT )(NN )(NNP )(NN )(NN )))(. )))	3	5	2
(TOP (S (NP (DT )(JJ )(NN ))(VP (VBZ )(NP (JJ )(, )(VBG )(, )(VBG )(, )(VBG )(, )(FW )))(. )))	3	5	2
(TOP (S (NP (DT )(JJ )(NN ))(VP (VBZ )(NP (NP (CD ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(RB )(VP (VBN )(PP (IN )(NP (DT )(JJR )(NN )))(, )(SBAR (IN )(S (NP (DT )(NN )(NN ))(VP (VBZ )(NP (DT )(JJ )(VBG )(JJS )(NN )))))))))))(. )))	6	13	2,833333333
(TOP (S (NP (DT )(JJ )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (DT )(NNS )))(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(PP (IN )(NP (DT )(JJ )(NN )))(PP (IN )(NP (DT )(JJ )(NNS ))))))))(. )))	10	10	2,9
(TOP (S (NP (DT )(JJ )(NNS ))(VP (VBP )(ADVP (RB ))(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NN )(NN ))(PP (IN )(NP (DT )(NN )))))))))(. )))	9	11	4,222222222
(TOP (S (NP (DT )(NN )(NN )(NNP )(NNP ))(VP (VBZ )(NP (NP (DT )(NN ))(VP (VBN )(NP (NP (NNP ))(SBAR (WHPP (IN )(WHNP (WDT )))(S (NP (NP (DT )(NN )(NNS ))(PP (IN )(NP (DT )(NNP ))))(VP (VBP )(S (VP (TO )(VP (VB )(NP (JJ )(NN ))(PP (IN )(NP (PRP$ )(NN )(NNS )))))))))))))(. )))	11	15	3,272727273
(TOP (S (NP (DT )(NN )(NN ))(VP (MD )(VP (VB )(NP (NN )(NNS ))(PP (IN )(NP (DT )(NN )))(, )(PP (IN )(NP (NP (JJ )(NNS ))(CC )(ADVP (RB ))(PP (IN )(NP (ADJP (JJ )(CC )(JJ ))(NN )))(PP (IN )(NP (DT )(NN )))))))(. )))	14	10	3,571428571
(TOP (S (NP (DT )(NN )(NN ))(VP (VBD )(VP (VBN )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )(NNS )))))(PP (IN )(NP (NP (DT )(JJS )(NN ))(PP (IN )(NP (DT )(VBN )(NN )))))))))(. )))	16	11	4,0625
(TOP (S (NP (DT )(NN )(NN ))(VP (VBZ )(ADVP (RB ))(NP (NP (DT )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (DT )(NN )(SBAR (IN )(S (PP (IN )(S (VP (VBG )(NP (NN )))))(, )(NP (PRP ))(VP (VBP )(NP (NN )))))))))))(. )))	6	15	2,833333333
(TOP (S (NP (DT )(NN )(NN ))(VP (VBZ )(NP (DT )(NN )(NN )))(. )))	3	5	2
(TOP (S (NP (DT )(NN )(NN ))(VP (VBZ )(NP (NP (DT )(JJ )(NN ))(PP (IN )(S (VP (VBG )(NP (NP (DT )(NN )(NN ))(, )(CC )(NP (DT )(NNS )))(, )(PP (IN )(NP (NP (NP (DT )(VBN )(NN ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(ADJP (JJ ))))))(, )(NP (NP (CD ))(PP (IN )(NP (NP (NNP )(POS ))(CD )(JJ )(NNS )))))))))))(. )))	11	15	3,363636364
(TOP (S (NP (DT )(NN )(NN ))(VP (VBZ )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNP )(NN )(NN ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (DT )(JJ )(NNP )(NNP )(NN )(NN ))(, )(S (VP (VBG )(NP (NN ))(PP (IN )(NP (DT )(NP (NNP ))(CC )(NP (NNP ))))))))))))))(. )))	13	16	4,692307692
(TOP (S (NP (DT )(NN )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NNP )))))(. )('' )))	1	7	1
(TOP (S (NP (DT )(NN )(NN ))(VP (VBZ )(VP (VBN )(PP (TO )(NP (DT )(JJ )(NN )))(PP (ADVP (RB ))(IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )(NN )(NN )))))))(. )))	10	9	3,5
(TOP (S (NP (DT )(NN )(NNS ))(VP (VBP )(VP (VBN )))(. )))	1	5	3
(TOP (S (NP (DT )(NN )(SBAR (IN )(S (NP (DT )(JJ )(NNP ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (TO )(NP (DT )(JJ ))))))))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (PRP$ )(NN ))))(SBAR (IN )(S (NP (NP (DT )(NNS ))(PP (IN )(NP (DT )(NNS ))))(VP (VBP )(VP (VBN ))))))(. )))	15	10	2,933333333
(TOP (S (NP (DT )(NN )(SBAR (IN )(S (NP (DT )(JJ ))(VP (VBZ )(NP (DT )(NN ))))))(VP (VBZ )(ADJP (RB )(VBN )(PP (IN )(S (VP (VP (VBG )(NP (NP (NNS ))(ADJP (JJ )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NNP )(NN ))(PP (IN )(NP (NP (NNP ))(, )(NP (NNP )(NNP ))(, )(NP (NNP ))(, )(NP (NNP )(CC )(NNS )))))))))))(, )(CC )(VP (VBG )(NP (NP (NN )(NN ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (NNP ))(, )(NP (NNP ))(CC )(NP (NNS )))))))))))))(. )))	5	18	2,2
(TOP (S (NP (DT )(NN ))(VP (MD )(VP (VB )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (DT )(NN ))))(PP (IN )(NP (NP (DT )(NN ))(SBAR (WHADVP (WRB ))(S (NP (PRP ))(VP (VBZ )(SBAR (S (NP (PRP ))(ADVP (RB ))(VP (VBP )(SBAR (IN )(S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )))))))))))))))(. )))	10	17	3,2
(TOP (S (NP (DT )(NN ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (NP (NP (NNS ))(PP (IN )(NP (DT )(NN ))))(SBAR (S (VP (TO )(VP (VB ))))))))))(. )))	2	12	2,5
(TOP (S (NP (DT )(NN ))(VP (VBD )(VP (VBN )(PP (IN )(NP (DT )(NNS )))))(. )))	5	7	3
(TOP (S (NP (DT )(NN ))(VP (VBD )(VP (VBN )(PP (IN )(S (VP (VBG )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (NP (NNS ))(, )(NP (NNS ))(, )(NP (NNS ))(CC )(NP (PRP$ )(NNS )))))(SBAR (IN )(IN )(S (NP (DT )(JJ )(NN )(NN ))(VP (VBZ )(VP (VBN ))))))))))(. )))	10	12	4,7
(TOP (S (NP (DT )(NN ))(VP (VBZ )(ADJP (JJ )(S (VP (TO )(VP (VB )(VP (VBN )(PP (IN )(NP (NNP )(NN )))(S (VP (TO )(VP (VB )(NP (NN )(NN )))))))))))(. )))	8	13	4,5
(TOP (S (NP (DT )(NN ))(VP (VBZ )(NP (NP (NN )(NNS ))(, )(NP (NNS ))(, )(NP (NNS )(CC )(NN )(NNS ))(CC )(S (VP (VBZ )(NP (NP (NN ))(SBAR (SBAR (WHADVP (WRB ))(S (VP (VBN ))))(CC )(SBAR (WHADVP (WRB ))(S (NP (NN )(NN ))(VP (VBZ )(VP (VBN )(SBAR (S (NP (NNS ))(VP (VBD )(VP (VBN )(PP (IN )(NP (NP (NNP )(NNP ))(VP (VBN )(PP (IN )(NP (NNP ))))))))))))))))))))(. )))	5	22	2,4
(TOP (S (NP (DT )(NN ))(VP (VBZ )(NP (NP (NNS ))(PP (JJ )(IN )(NP (NP (JJ )(NN )(NNS ))(, )(NP (NNP )(NNS ))(, )(NP (JJ )(NNS ))(, )(NP (NP (NN )(NN )(CC )(NN )(NN ))(SBAR (S (VP (TO )(VP (VB )(NP (DT )(NN )(NN ))(PP (IN )(NP (DT )(ADJP (RB )(VBN ))(JJ )(NN ))))))))))))(. )))	13	15	3,692307692
(TOP (S (NP (DT )(NN ))(VP (VBZ )(PP (IN )(NP (NP (DT )(NNS )(NN ))(CC )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(JJ )(, )(CC )(JJ )(CC )(NN ))(PP (IN )(NP (DT )(JJ )(NN )))(SBAR (IN )(S (PP (IN )(NP (DT )(JJ )(NN )))(NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NN ))))(PP (IN )(NP (NN )))(PP (IN )(NP (PRP )))(S (VP (TO )(VP (VB )(NP (NP (NN ))(PP (IN )(NP (PRP$ )(JJ )(NN )))))))))))))))))))(. )))	19	21	3,263157895
(TOP (S (NP (DT )(NN ))(VP (VBZ )(PP (IN )(NP (PRP$ )(NN ))))(. )))	4	6	2,5
(TOP (S (NP (DT )(NN ))(VP (VBZ )(RB )(VP (VB )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS ))(ADJP (JJ )(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (DT )(JJ )(NN )(NNS ))))))))))))(. )))	6	14	2,833333333
(TOP (S (NP (DT )(NN ))(VP (VBZ )(RB )(VP (VBG )(NP (DT )(NN ))(, )(S (VP (VP (VBG ))(, )(CC )(VP (VBG )(NP (NN )))))))(. )))	4	9	2,5
(TOP (S (NP (DT )(NN ))(VP (VBZ )(SBAR (IN )(S (NP (NP (CD )(NN )(NNS )(NN ))(PP (IN )(NP (CD )(NN )(NNS ))))(VP (MD )(VP (VB )(VP (ADVP (RB ))(VBN )(PP (IN )(NP (DT )(NNP )(NNP )))))))))(. )))	10	11	3,2
(TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (DT )(NN )(NN )))))(. )))	5	7	3
(TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN )(NNS ))(, )(PP (JJ )(IN )(S (VP (VP (VBP ))(CC )(VP (VBP ))(, )(SBAR (IN )(S (NP (NNS ))(VP (VBP )(ADVP (RB ))(VP (VBN )(PP (IN )(NP (NP (JJ )(NN ))(PP (IN )(NP (DT )(NN )(NN )))))(, )(SBAR (IN )(S (NP (NNS ))(VP (VBP )(ADVP (RB ))(VP (VBN )(S (ADJP (JJ ))))))))))))))))))(. )))	14	20	3,714285714
(TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(S (VP (VBG )(NP (DT )(NN ))(PP (TO )(NP (NP (DT )(NN ))(, )(SBAR (WHNP (WDT ))(S (VP (ADVP (RB ))(VBZ )(NP (DT )(JJ )(NN )(NN ))))))))))))(. )))	11	14	4,454545455
(TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS ))(, )(VP (VBN )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))(, )(VP (VBG )(NP (NP (NNS ))(PP (IN )(NP (DT )(NN ))))(PP (TO )(NP (NP (DT )(JJ ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(VP (VBN )(PP (IN )(NP (NN )(NNS )))))))))))))))))))))(. )))	13	23	4,846153846
(TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(VP (VBN )(PP (IN )(NP (PRP$ )(JJ )(NN ))))))(. )))	6	8	3,5
(TOP (S (NP (DT )(NN ))(VP (VP (VBZ )(NP (DT )(NN )))(, )(CC )(VP (VBZ )(NP (NP (NN )(NN ))(PP (IN )(NP (NN )))(SBAR (IN )(S (NP (DT )(NN ))(VP (VBZ )(VP (VBG )(NP (DT )(JJ )(NN )))))))))(. )))	7	11	2,714285714
(TOP (S (NP (DT )(NN ))(VP (VP (VBZ )(NP (NP (DT )(NNS ))(PP (IN )(NP (NNS )))(PP (PP (IN )(ADJP (JJ )))(PP (TO )(NP (JJ ))))))(CC )(VP (VBZ )(SBAR (IN )(S (NP (NP (JJ )(NN ))(PP (IN )(NP (DT )(JJR )(, )(FW )(NNP )(NNP )))(, )(ADJP (RBR )(JJ ))(NNS ))(VP (VBZ )(ADJP (RB )(JJ ))(, )(PP (IN )(ADJP (JJ )))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (JJ )(JJ )(JJ )(NNS ))))))))))(. )))	11	12	2,363636364
(TOP (S (NP (DT )(NN ))(VP (VP (VBZ )(VP (VBN )(PP (IN )(NP (NNP )(NNP )(NNP )))))(CC )(VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(VP (VBN )(S (NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(VBN )(NN ))))(VP (VBZ )(PP (IN )(NP (NN )))(S (VP (TO )(VP (VB )(ADVP (RB ))(, )(S (ADVP (RB ))(VP (VBG )(PP (IN )(NP (NP (DT )(NN )(NN )(CC )(NN ))(PP (IN )(NP (NN )))(PP (IN )(NP (NP (DT )(NNS ))(VP (VBG )(NP (NP (PRP$ )(NNS ))(PP (IN )(NP (DT )(NNS )))))))))))))))))))))))(. )))	20	25	5,5
(TOP (S (NP (DT )(NNP )(NN )(NN ))(. )('' )(VP (VBG )(NP (NNS )))))	1	5	1
(TOP (S (NP (DT )(NNP )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(S (VP (VBG )(NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (NNS ))(VP (VBN )(PP (IN )(NP (NP (NNS ))(VP (VBN )(PP (TO )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NN ))))(CC )(NP (NP (NNS ))(VP (VBN )(PP (IN )(NP (NP (JJ )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (DT )(NNS ))))))))))))))))))))))))))(. )))	17	28	3,470588235
(TOP (S (NP (DT )(NNP ))(VP (VBZ )(NP (DT )(JJ )(JJ )(NN )(NN ))(PP (IN )(NP (DT )(NNS ))))(. )))	5	6	2,4
(TOP (S (NP (DT )(NNP ))(VP (VBZ )(NP (NP (DT )(NN ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (NP (NP (JJ )(NNS ))(PP (IN )(NP (DT )(NN ))))(, )(CONJP (RB )(RB )(IN ))(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN )(NN ))))))))))(. )))	11	12	3,818181818
(TOP (S (NP (DT )(NNP ))(VP (VBZ )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))(VP (VBN )(PP (IN )(NP (NP (VBN )(NN )(JJ )(NN ))(VP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN ))(VP (VBN )(PP (IN )(NP (NNS ))))))))))))(. )))	1	14	3
(TOP (S (NP (DT )(NNS )(CC )(NNP )(NN ))(VP (ADVP (RB ))(VBZ )(PP (IN )(NP (NP (NNP )(NNP )(JJ )(NN ))(PP (TO )(S (VP (VBG )(NP (NP (JJ )(NNS ))(, )(VP (VBN )(PP (IN )(NP (DT )(JJ )(NNS )))))))))))(. )))	12	13	4,916666667
(TOP (S (NP (DT )(NNS ))(ADVP (RB ))(VP (VBP )(VP (VBN )(SBAR (IN )(S (NP (DT )(NN )(NNS ))(VP (VBP )(PP (TO )(NP (JJR )(JJ )(CC )(JJ )(NNS ))))))))(. )))	6	10	2,5
(TOP (S (NP (DT )(NNS ))(VP (VBD ))(. )))	1	4	3
(TOP (S (NP (DT )(NNS ))(VP (VBP )(ADVP (RB ))(VP (VBN )(PP (IN )(NP (NP (JJ )(NNS ))(, )(PP (VBG )(NP (NP (NNP )(NNP ))(CC )(NP (NNP )(NNP )(NNS ))))))))(. )))	9	10	4,222222222
(TOP (S (NP (DT )(NNS ))(VP (VBP )(NP (NP (DT )(NN ))(VP (VBG )(NP (DT )(NNS ))(PP (IN )(NP (JJ )(NNS ))))))(. )))	8	8	3,125
(TOP (S (NP (DT )(NNS ))(VP (VBP )(RB )(VP (VB )(ADVP (RB )(CC )(RB ))(VP (VB )(NP (NP (DT )(JJ )(NN ))(, )(SBAR (WHNP (WDT ))(S (VP (VP (VBZ )(S (VP (TO )(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(NN ))))))))(CC )(VP (ADVP (RB ))(VBN )(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (NN )(NNS )))))))))))))(. )))	20	17	5,2
(TOP (S (NP (DT )(NNS ))(VP (VBP )(S (NP (NNS ))(VP (TO )(VP (VB )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN )(NN )(NNS ))))(PP (IN )(NP (NP (NN ))(PP (TO )(NP (NP (DT )(JJ )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBP )(ADJP (ADJP (JJ ))(, )(ADJP (JJ ))(, )(CC )(ADJP (JJ ))))))))))))))(. )))	8	16	3,75
(TOP (S (NP (DT )(NNS ))(VP (VBP )(SBAR (IN )(S (NP (NP (NN )(NNS ))(VP (VBG )(NP (DT )(NN ))))(VP (MD )(ADVP (RB ))(VP (VB )(NP (NP (DT )(NN )(CC )(NN ))(PP (IN )(NP (NP (NN )(NNS ))(PP (TO )(NP (JJ )(NNS )))))))))))(. )))	14	13	3,642857143
(TOP (S (NP (DT )(NNS ))(VP (VBP )(SBAR (IN )(S (S (ADJP (JJ )(CC )(JJ )))(CC )(S (NP (PRP ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NP (NNS ))(CC )(NP (NP (PRP ))(SBAR (WHADVP (WRB ))(S (ADJP (JJ )(CC )(JJ ))))))(SYM ))))(SBAR (IN )(S (NP (CD )(NN )(NNS ))(VP (VBP )(ADJP (JJ ))(, )(S (VP (VBG )(SBAR (IN )(S (NP (PRP ))(VP (VBP )(ADJP (JJ ))))))))))(: )(NP (CD )(CD )))))))(. )))	3	17	2
(TOP (S (NP (DT )(NNS ))(VP (VBP )(VP (VBG )))(. )))	1	5	3
(TOP (S (NP (DT )(NNS ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NN )(NN )(CC )(NNPS )))))))	5	7	3
(TOP (S (NP (DT )(NNS ))(VP (VP (VBP )(NP (DT )(JJ )(NNS )))(, )(CC )(VP (VB )(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (DT )(NN )))))))(. )))	10	9	3,5
(TOP (S (NP (DT )(RBS )(JJ )(NNS ))(VP (VBP )(NP (NP (DT )(JJ )(NNS ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NNS )))))))))(. )))	1	11	3
(TOP (S (NP (DT ))(VP (VBD )(NP (NP (DT )(NN ))(PP (IN )(S (VP (VBG )(NP (NP (NN ))(PP (IN )(NP (CD )(NNS ))))(, )(S (VP (VBG )(NP (PRP$ )(VBN )(NNS )))))))))(. )))	9	11	4,333333333
(TOP (S (NP (DT ))(VP (VBP )(NP (NP (JJ )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VB )(NP (DT )(JJ )(NN )(CC )(NN ))(PP (IN )(NP (DT )(NN ))))))))(. )))	8	10	3,875
(TOP (S (NP (DT ))(VP (VBZ )(ADJP (JJ )(PP (TO )(NP (DT )(NN )(SBAR (IN )(S (NP (JJ )(NNS ))(VP (VBP )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(NNS ))(CC )(NP (NP (JJ )(NNS ))(PP (JJ )(IN )(NP (NP (NN ))(, )(SBAR (WHNP (WDT ))(S (VP (VBP )(ADJP (JJ )(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (NN ))(VP (VBG )(NP (JJ )(NNS ))))))))))))))))))))))))(. )))	11	26	3,181818182
(TOP (S (NP (DT ))(VP (VBZ )(ADJP (JJ )(PP (TO )(NP (DT )(NN )(SBAR (IN )(S (PP (IN )(NP (NNS )(NNS )))(NP (PRP ))(VP (VBZ )(ADJP (RB )(JJ )(S (VP (TO )(VP (VB )(NP (NP (JJ ))(VP (VBN )(PP (IN )(NP (NN )(NNS )))))(, )(SBAR (IN )(S (NP (NP (DT )(NN ))(PP (IN )(NP (JJR )(NNS ))))(VP (VBZ )(ADJP (RB )(JJ ))))))))))))))))(. )))	17	19	3,235294118
(TOP (S (NP (DT ))(VP (VBZ )(ADJP (JJ )(PP (TO )(NP (DT )(NN ))))(SBAR (IN )(S (NP (JJ )(NNS )(CC )(NNS ))(VP (VBP )(NP (NP (ADJP (JJ )(, )(JJ )(CC )(JJ ))(NNS ))(SBAR (S (VP (TO )(VP (VB )(PRT (RP ))(, )(S (VP (VBG )(NP (NN )))))))))))))(. )))	11	15	3,909090909
(TOP (S (NP (DT ))(VP (VBZ )(ADJP (JJ )(PP (TO )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NP (NNS ))(SBAR (S (NP (NN ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (JJ )(NNS )))))))))(, )(CC )(NP (NP (NNS ))(PP (IN )(NP (NP (JJ )(NN )(NNS ))(PP (IN )(NP (NP (NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(S (VP (TO )(VP (VB )(NP (NNS ))(PP (IN )(NP (NN ))))))))))))))))))))(. )))	5	22	3
(TOP (S (NP (DT ))(VP (VBZ )(PP (IN )(NP (PRP$ )(JJ )(NN )(NNS ))))(. )))	4	6	3,5
(TOP (S (NP (EX ))(VP (VBP )(NP (NP (CD )(NN )(NNS ))(, )(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (NP (NP (NNP )(NNP )(NN ))(, )(NP (NN )(NN )))(, )(CC )(NP (NN )(NN ))))))))(. )))	1	11	1
(TOP (S (NP (JJ )(DT )(NN ))(VP (VBZ )(NP (NP (NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(S (VP (TO )(VP (VB )(VP (VBN ))))))))))(. )))	1	12	3
(TOP (S (NP (JJ )(DT )(NN ))(VP (VP (VBZ )(S (VP (TO )(VP (VB )(PP (IN )(NP (DT )(JJ )(NN )))(PP (IN )(NP (NP (DT )(NNS ))(NP (DT )(NN )(NNS ))))))))(, )(CC )(ADVP (RB ))(VP (VB )(S (VP (TO )(VP (VB )(NP (DT )(NN )(NN )(NN )))))))(. )))	15	11	3,8
(TOP (S (NP (JJ )(JJ )(JJ )(NNS ))(VP (VBP )(VP (VBN )(SBAR (WHADVP (WRB ))(S (VP (TO )(VP (VB )(NP (NP (NN ))(PP (IN )(NP (NNP )))(PP (IN )(NP (NNS ))))))))))(. )))	3	12	2,666666667
(TOP (S (NP (JJ )(NN )(NN ))(VP (VP (VBZ )(PP (IN )(NP (CD )(NN )))(PP (IN )(NP (NP (NN )(NN )(NNS ))(PP (IN )(NP (DT )(JJ )(NNS ))))))(, )(CC )(VP (ADVP (RB ))(VBZ )(PP (TO )(NP (CD )(NN )))(SBAR (IN )(S (NP (NN ))(VP (VBZ )(NP (DT )(JJ )(NN )))))))(. )))	15	9	3,266666667
(TOP (S (NP (JJ )(NN )(NNS ))(VP (VBP )(VP (VBN )(ADVP (RB ))(PP (IN )(NP (JJ )(NNS )))))(. )))	5	7	3
(TOP (S (NP (JJ )(NN ))(VP (VBZ )(NP (NP (DT )(NN )(JJ )(NN ))(PP (IN )(NP (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (JJ )(NN ))))(PP (TO )(NP (CD )(NN )(NN ))))))(PP (IN )(NP (QP (CD )(CD ))(NN ))))(. )))	12	10	3,75
(TOP (S (NP (JJ )(NN ))(VP (VBZ )(S (VP (TO )(VP (VB )(VP (VBN )(PP (IN )(NP (NN ))))))))(. )))	1	10	3
(TOP (S (NP (JJ )(NNS ))(VP (VBD )(VP (VBN )(S (ADJP (RB )(JJ )))(PP (IN )(S (VP (VBG )(NP (NP (NN )(NN )(CC )(NN )(NN )(NNS ))(, )(PP (VBG )(NP (NN )))))))))(. )))	4	11	2,5
(TOP (S (NP (JJ )(NNS ))(VP (VBP )(ADVP (RB ))(VP (VBN )(PP (TO )(NP (DT )(NN )(NN )(NN )))(SBAR (IN )(NN )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS ))(SBAR (WHNP (WDT ))(S (VP (MD )(ADVP (RB ))(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(JJ )(NN )))))))))))))))))(. )))	9	19	3,222222222
(TOP (S (NP (JJ )(NNS ))(VP (VBP )(NP (NP (DT )(NN )(NNS ))(VP (VP (VBN )(PP (IN )(NP (NP (JJ )(JJ )(NNS ))(, )(PP (VBG )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NN )(NN ))))))))(, )(VP (VBG )(NP (PRP ))(PP (IN )(NP (DT )(JJ )(NN ))))(, )(VP (VBG )(NP (PRP$ )(JJ )(NNS )))(, )(CC )(VP (VBG )(NP (NNS ))(PP (IN )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (DT )(NN )(NN )))))))))(. )))	25	13	4,32
(TOP (S (NP (JJ )(NNS ))(VP (VBP )(PP (IN )(NP (NP (JJ )(CD )(NNS ))(PP (IN )(NP (NN )))(, )(NP (NP (CD )(NN )(NNS ))(, )(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (PRP ))(PRT (RP ))(PP (TO )(NP (NP (CD )(NN )(NNS ))(NP (DT )))))))))))(. )))	8	13	3,75
(TOP (S (NP (JJ )(NNS ))(VP (VBP )(S (VP (TO )(VP (VB )(PP (IN )(NP (NN )))(S (VP (TO )(VP (VB )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NNS )))))))))))(. )))	1	13	3
(TOP (S (NP (JJ )(NNS ))(VP (VP (VBP )(ADJP (RB )(JJ ))(PP (IN )(NP (NN ))))(, )(CC )(VP (VBP )(ADVP (RB ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NN )(NNS )))))))(. )))	5	9	2,4
(TOP (S (NP (JJ ))(VP (VBP )(S (NP (JJ )(NN )(NNS ))(VP (VBP )(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (DT )(NN )(NN ))(PP (IN )(NP (PRP )))))))))))))(. )))	4	15	2,75
(TOP (S (NP (JJS )(JJ )(JJ )(NN )(NNS ))(VP (VBD )(NP (NP (DT )(CD )(NNP )(NNP )(NNP )(NN ))(, )(NP (DT )(CD )(NNP )(NNP )(NNP )(NNP ))(, )(CC )(NP (NP (NP (DT )(NNP )(CD )(NN )(NN ))(PRN (-LRB- )(SBAR (WHNP (WP$ )(NNS ))(S (NP (PRP ))(VP (VBD )(PP (TO )(NP (PRP ))))))(-RRB- )))(, )(NP (CD )(CC )(CD )(NNP )(NNP )(NNP )))))(. )))	9	13	3,444444444
(TOP (S (NP (JJS )(NN )(NNS ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NN )(NNS ))(PP (IN )(NP (DT )(JJ )(NN ))))))(PP (IN )(NP (DT )(NN )(NN )(NN )))))))(. )))	13	12	4,153846154
(TOP (S (NP (JJS )(NNS ))(VP (VBP )(S (NP (DT )(NN ))(VP (VBG )(NP (PRP$ )(JJ ))(, )(SBAR (IN )(S (NP (EX ))(VP (VBP )(ADVP (RB ))(NP (NP (JJ )(NNS ))(PP (IN )(NP (JJ )(NNS ))))))))))(. )))	8	12	3
(TOP (S (NP (NN )(CC )(NN )(NNS ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(JJ )(NN ))))))(. )))	6	8	3,5
